"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"topic-earth-logo-kit_cilv3y.html","https://res.cloudinary.com/dsbfcgtdv/raw/upload/v1779339964/topic-earth-logo-kit_cilv3y.html","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","raw","","","topic-earth-logo-kit_cilv3y.html","e0854cf11898823db582ea4e566c615d","topic-earth-logo-kit_cilv3y.html","upload","2026-05-21T05:06:04Z"
"sujet-terre-vignette-animated_mpssqa","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339920/sujet-terre-vignette-animated_mpssqa.gif","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","gif","","sujet-terre-vignette-animated_mpssqa","44404c1a1e90606e17a57d6cb73af0ef","sujet-terre-vignette-animated_mpssqa","upload","2026-05-21T05:05:20Z"
"topic-earth-header-app-transparent_jnkru2","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339961/topic-earth-header-app-transparent_jnkru2.png","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","png","","topic-earth-header-app-transparent_jnkru2","07793740aae7bb35ce9d328bf1a36aaf","topic-earth-header-app-transparent_jnkru2","upload","2026-05-21T05:06:01Z"
"topic-earth-header-app-space-black-animated_tabnuv","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339961/topic-earth-header-app-space-black-animated_tabnuv.svg","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","svg","","topic-earth-header-app-space-black-animated_tabnuv","7605cb4a14a1eaea3e35c3f96d461311","topic-earth-header-app-space-black-animated_tabnuv","upload","2026-05-21T05:06:01Z"
"topic-earth-header-app-space-black-animated_jd2aoe","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339957/topic-earth-header-app-space-black-animated_jd2aoe.png","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","png","","topic-earth-header-app-space-black-animated_jd2aoe","6333f2e8027eb3a47a6c2a728c310179","topic-earth-header-app-space-black-animated_jd2aoe","upload","2026-05-21T05:05:57Z"
"topic-earth-header-app-space-animated-check_e4nm2q","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339955/topic-earth-header-app-space-animated-check_e4nm2q.png","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","png","","topic-earth-header-app-space-animated-check_e4nm2q","8a31cd4c3f19ad1ff734288c2175a67c","topic-earth-header-app-space-animated-check_e4nm2q","upload","2026-05-21T05:05:55Z"
"topic-earth-header-app-space-animated_hkrjwo","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339954/topic-earth-header-app-space-animated_hkrjwo.svg","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","svg","","topic-earth-header-app-space-animated_hkrjwo","a06dcbd41520fcbd7e32b5f2ac62af84","topic-earth-header-app-space-animated_hkrjwo","upload","2026-05-21T05:05:54Z"
"topic-earth-header-app-space-animated_f79jbw","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339951/topic-earth-header-app-space-animated_f79jbw.png","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","png","","topic-earth-header-app-space-animated_f79jbw","78e38269118b5824075c021e639110e8","topic-earth-header-app-space-animated_f79jbw","upload","2026-05-21T05:05:51Z"
"topic-earth-header-app-regional-black-animated_imboi7","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339950/topic-earth-header-app-regional-black-animated_imboi7.svg","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","svg","","topic-earth-header-app-regional-black-animated_imboi7","2445ee3aeb78b2640d5beebf293e69b3","topic-earth-header-app-regional-black-animated_imboi7","upload","2026-05-21T05:05:50Z"
"topic-earth-header-app-regional-black-animated_k8kaw1","https://res.cloudinary.com/dsbfcgtdv/image/upload/v1779339947/topic-earth-header-app-regional-black-animated_k8kaw1.png","baner animated,header animated,smdeltart.com,sujet.terre,topic.earth,vignette animated","image","png","","topic-earth-header-app-regional-black-animated_k8kaw1","f10bd9a64be18938cd9b43d487cc6c4d","topic-earth-header-app-regional-black-animated_k8kaw1","upload","2026-05-21T05:05:47Z"
